trial,gap,phi,stages,V_kV,thrust_density,current_density,power,pcd_path
0,0.004517201371837254,0.8685111915506756,1,25.21772642981104,1320.479597946984,2.533587141539248e-05,0.00638913074214237,runs/5273374da76b.pcd
1,0.004726353677032613,1.6008893111135052,6,34.55369902311044,4213.503527047085,4.5819197820063434e-05,0.015832227709548303,runs/2ab2a8d03f9f.pcd
2,0.002518749627544038,1.6877379681748983,6,37.81958479541349,8942.172474341958,4.6786935281743263e-05,0.017694624662054126,runs/94deef64f708.pcd
3,0.003961920274281226,1.6508390510196236,5,39.38942352316573,5993.820072359904,4.9040789902462935e-05,0.01931688443378702,runs/3c51495e7c37.pcd
4,0.004689250861753577,0.9735698278896785,5,30.96493067413513,2971.6476135237244,4.034018022945488e-05,0.012491308841871869,runs/27e71209e6d7.pcd
5,0.0047445648707441805,1.617791484741434,2,27.320787964260774,1868.8241218787925,2.970182176345237e-05,0.008114771745515482,runs/d15d4379c58f.pcd
6,0.001488092010304949,0.8551914930974851,4,32.31213574192438,8663.368672718665,3.76466383481162e-05,0.012164432885314663,runs/f143408257df.pcd
7,0.005397191220703715,1.128270272806987,1,29.961738738778983,1677.951653058791,3.113815278408861e-05,0.009329531985250463,runs/71c75e5f7bee.pcd
8,0.004452714921856622,1.4615544970852499,4,24.381581533087658,1846.7495600845582,2.9116320478808893e-05,0.007099019416975889,runs/af271345e310.pcd
9,0.005975534708400551,1.3289339125574124,2,26.338512544830902,1301.6977545736095,2.8143585131296587e-05,0.007412601700371717,runs/75a20e232c29.pcd
10,0.0024202772078983905,1.7880093477257315,6,16.813687470558392,2022.8468667667667,2.2568214883233567e-05,0.0037945491181509364,runs/e00d6a0a1c07.pcd
11,0.0008395984306338203,1.1648655750146153,4,36.20087965925884,20620.94063731158,4.308136734187227e-05,0.015595833946994419,runs/76b0bf2746b5.pcd
12,0.0009303261341917491,1.2221628897419476,3,39.75854378127032,21699.974668231407,4.7091646399230664e-05,0.01872295285095913,runs/355c8df94961.pcd
13,0.0008034420685256809,1.1399925934689552,3,36.04144067851624,19939.317408523562,4.172093538849121e-05,0.015036826178565148,runs/0e7801e204a6.pcd
14,0.0008182267263719273,1.204118024894086,3,39.869562577621984,24851.484310382515,4.742458281171128e-05,0.01890797372129139,runs/f46ab15dc6ef.pcd
15,0.0018557939490570464,1.3171713795970617,3,39.78452481833284,10979.184247747055,4.685078024894688e-05,0.018639360295724855,runs/5b22ab9abd09.pcd
16,0.003130078735238395,1.4279285795879175,2,21.008747269228223,1618.983968745224,2.266620285386727e-05,0.004761885273099569,runs/5241a8d75c99.pcd
17,0.0014928159659120138,1.0423969776146527,3,33.64210145992461,9498.941398854247,4.013855992073592e-05,0.013503455053086613,runs/df3ec4b3aa03.pcd
18,0.0021315079525400455,1.2078680085781224,2,37.36499884381827,7068.898026242804,3.9105616319000486e-05,0.014611813085462541,runs/bf039bcc421b.pcd
19,0.0031583197222728263,1.0093057348331922,3,15.289825032145835,847.3931618345018,1.6751331545697854e-05,0.002561249283891852,runs/e550201604fe.pcd
